220X67,220X71,220X75,220X79,220X83,220X87,220X91,220X95,220X225,220X226,220X227,220X228,220X229,220X230,220X231,220X232,220X233,220X234,220X235,220X236
2017072411295267.0,2017072411282267,2017072411293720.0,2017072411284726,2017072411294004.0,2017072411281846,2017072411293496.0,2017072411284373,20170724114520.0,20170724114520.0,20170724113023.0,20170724112824.0,20170724112750.0,20170724112653.0,20170724104453.0,20170724104453.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072603573957.0,2017072603543303,2017072603572407.0,2017072603563287,2017072603572695.0,2017072603542881,2017072603572185.0,2017072603562932,20170726041244.0,20170726041244.0,20170726035818.0,20170726035441.0,20170726035405.0,20170726035318.0,20170726032601.0,20170726032601.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072603563550.0,2017072603531721,2017072603561989.0,2017072603533487,2017072603562278.0,2017072603531300,2017072603561765.0,2017072603533129,20170726041120.0,20170726041120.0,20170726035714.0,20170726035326.0,20170726035249.0,20170726035202.0,20170726032447.0,20170726032447.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072603533742.0,2017072603520162,2017072603532189.0,2017072603521840,2017072603532478.0,2017072603515740,2017072603531964.0,2017072603521489,20170726041006.0,20170726041006.0,20170726035436.0,20170726035210.0,20170726035134.0,20170726035047.0,20170726032340.0,20170726032340.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072603522098.0,2017072603504703,2017072603520548.0,2017072603510465,2017072603520835.0,2017072603504281,2017072603520326.0,2017072603510114,20170726040915.0,20170726040915.0,20170726035320.0,20170726035056.0,20170726035019.0,20170726034932.0,20170726032235.0,20170726032235.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072603510720.0,2017072603493178,2017072603505173.0,2017072603495612,2017072603505460.0,2017072603492757,2017072603504948.0,2017072603495260,20170726040819.0,20170726040819.0,20170726035205.0,20170726034940.0,20170726034904.0,20170726034818.0,20170726032130.0,20170726032130.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072603495871.0,2017072603481745,2017072603494310.0,2017072603483504,2017072603494606.0,2017072603481323,2017072603494084.0,2017072603483151,20170726040708.0,20170726040708.0,20170726035050.0,20170726034826.0,20170726034749.0,20170726034702.0,20170726032025.0,20170726032025.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072603483764.0,2017072603470203,2017072603482210.0,2017072603471881,2017072603482495.0,2017072603465781,2017072603481989.0,2017072603471525,20170726040548.0,20170726040548.0,20170726034935.0,20170726034711.0,20170726034634.0,20170726034548.0,20170726031920.0,20170726031920.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072603472139.0,2017072603454743,2017072603470585.0,2017072603460506,2017072603470871.0,2017072603454321,2017072603470360.0,2017072603460153,20170726040436.0,20170726040436.0,20170726034820.0,20170726034556.0,20170726034519.0,20170726034432.0,20170726031831.0,20170726031831.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072603460757.0,2017072603443182,2017072603455214.0,2017072603444771,2017072603455501.0,2017072603442760,2017072603454987.0,2017072603444418,20170726040319.0,20170726040319.0,20170726034705.0,20170726034440.0,20170726034404.0,20170726034317.0,20170726031717.0,20170726031717.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072603445028.0,2017072603431664,2017072603443479.0,2017072603433420,2017072603443765.0,2017072603431242,2017072603443256.0,2017072603433067,20170726040205.0,20170726040205.0,20170726034550.0,20170726034325.0,20170726034249.0,20170726034201.0,20170726031605.0,20170726031605.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072409324901.0,2017072409311734,2017072409323370.0,2017072409314178,2017072409323653.0,2017072409311312,2017072409323145.0,2017072409313825,20170724094825.0,20170724094825.0,20170724093320.0,20170724093119.0,20170724093044.0,20170724093007.0,20170724085917.0,20170724085917.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072409014298.0,2017072408573417,2017072409012753.0,2017072408575646,2017072409013042.0,2017072408572995,2017072409012528.0,2017072408575295,20170724091725.0,20170724091725.0,20170724090216.0,20170724085735.0,20170724085659.0,20170724085612.0,20170724082559.0,20170724082559.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072603254693.0,2017072603241071,2017072603253140.0,2017072603244175,2017072603253428.0,2017072603240650,2017072603252907.0,2017072603243823,20170726034213.0,20170726034213.0,20170726032625.0,20170726032419.0,20170726032305.0,20170726032203.0,20170726025843.0,20170726025843.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072301055775.0,2017072301041840,2017072301054220.0,2017072301044278,2017072301054507.0,2017072301041418,2017072301053995.0,2017072301043925,20170723012151.0,20170723012151.0,20170723010624.0,20170723010415.0,20170723010341.0,20170723010311.0,20170723004112.0,20170723004112.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072300371920.0,2017072300344109,2017072300370367.0,2017072300350075,2017072300370656.0,2017072300343685,2017072300370146.0,2017072300345723,20170723004932.0,20170723004932.0,20170723003739.0,20170723003437.0,20170723003414.0,20170723003347.0,20170723001428.0,20170723001428.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072407133151.0,2017072407114320,2017072407131609.0,2017072407120806,2017072407131895.0,2017072407113898,2017072407131382.0,2017072407120453,20170724073019.0,20170724073019.0,20170724071403.0,20170724071144.0,20170724071111.0,20170724071025.0,20170724064023.0,20170724064023.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072406441567.0,2017072406391226,2017072406440015.0,2017072406395718,2017072406440300.0,2017072406390806,2017072406435787.0,2017072406395364,20170724065735.0,20170724065735.0,20170724064446.0,20170724063913.0,20170724063839.0,20170724063746.0,20170724060511.0,20170724060511.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072622012664.0,2017072621580689,2017072622011109.0,2017072621582362,2017072622011401.0,2017072621580267,2017072622010887.0,2017072621582007,20170728085215.0,20170728085215.0,20170728083551.0,20170728083339.0,20170728083306.0,20170728083228.0,20170728080204.0,20170728080204.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072621582621.0,2017072621565059,2017072621581068.0,2017072621570828,2017072621581357.0,2017072621564637,2017072621580845.0,2017072621570475,20170726221740.0,20170726221740.0,20170726220308.0,20170726215905.0,20170726215828.0,20170726215743.0,20170726213042.0,20170726213042.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072621571084.0,2017072621553581,2017072621565532.0,2017072621555332,2017072621565821.0,2017072621553159,2017072621565307.0,2017072621554979,20170726224852.0,20170726224852.0,20170726223245.0,20170726223022.0,20170726222945.0,20170726222858.0,20170726220057.0,20170726220057.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072603223659.0,2017072603204868,2017072603222106.0,2017072603211396,2017072603222396.0,2017072603204446,2017072603221881.0,2017072603211045,20170726033944.0,20170726033944.0,20170726032333.0,20170726032058.0,20170726032024.0,20170726031947.0,20170726025632.0,20170726025632.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072603211651.0,2017072603194618,2017072603210101.0,2017072603201154,2017072603210389.0,2017072603194196,2017072603205873.0,2017072603200803,20170726033816.0,20170726033816.0,20170726032205.0,20170726031955.0,20170726031922.0,20170726031844.0,20170726025527.0,20170726025527.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072603201417.0,2017072603184368,2017072603195864.0,2017072603190906,2017072603200148.0,2017072603183948,2017072603195639.0,2017072603190553,20170726033659.0,20170726033659.0,20170726032052.0,20170726031853.0,20170726031819.0,20170726031742.0,20170726025422.0,20170726025422.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072802183714.0,2017072802170165,2017072802182164.0,2017072802171921,2017072802182451.0,2017072802165743,2017072802181939.0,2017072802171567,20170728023528.0,20170728023528.0,20170728021914.0,20170728021650.0,20170728021614.0,20170728021527.0,20170728014440.0,20170728014440.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072802160657.0,2017072802143098,2017072802155109.0,2017072802144775,2017072802155395.0,2017072802142665,2017072802154885.0,2017072802144421,20170728023313.0,20170728023313.0,20170728021645.0,20170728021419.0,20170728021343.0,20170728021257.0,20170728014230.0,20170728014230.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072600070528.0,2017072600051554,2017072600065465.0,2017072600054320,2017072600065734.0,2017072600051132,2017072600065239.0,2017072600053964,20170726002244.0,20170726002244.0,20170726000735.0,20170726000523.0,20170726000452.0,20170726000415.0,20170725234012.0,20170725234012.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072523391262.0,2017072523351559,2017072523385701.0,2017072523353760,2017072523385975.0,2017072523351137,2017072523385464.0,2017072523353410,20170725235233.0,20170725235233.0,20170725233950.0,20170725233523.0,20170725233452.0,20170725233424.0,20170725231217.0,20170725231217.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072612142946.0,2017072612124459,2017072612141400.0,2017072612130896,2017072612141685.0,2017072612124037,2017072612141173.0,2017072612130542,20170726221523.0,20170726221523.0,20170726215859.0,20170726215635.0,20170726215558.0,20170726215512.0,20170726212832.0,20170726212832.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072420595028.0,2017072420580107,2017072420593468.0,2017072420582651,2017072420593764.0,2017072420575685,2017072420593242.0,2017072420582298,20170724211613.0,20170724211613.0,20170724210022.0,20170724205804.0,20170724205730.0,20170724205653.0,20170724202728.0,20170724202728.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072502511817.0,2017072502493870,2017072502510264.0,2017072502500323,2017072502510551.0,2017072502493448,2017072502510035.0,2017072502495968,20170725030526.0,20170725030526.0,20170725025152.0,20170725024943.0,20170725024908.0,20170725024831.0,20170725021407.0,20170725021407.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072612131154.0,2017072612113460,2017072612125601.0,2017072612120637,2017072612125887.0,2017072612113039,2017072612125376.0,2017072612120284,20170726221403.0,20170726221403.0,20170726215745.0,20170726215520.0,20170726215443.0,20170726215357.0,20170726212727.0,20170726212727.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072502154732.0,2017072502131964,2017072502153182.0,2017072502140357,2017072502153468.0,2017072502131542,2017072502152957.0,2017072502140004,20170725023422.0,20170725023422.0,20170725021621.0,20170725021323.0,20170725021250.0,20170725021213.0,20170725014309.0,20170725014309.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072703053984.0,2017072702581390,2017072703052442.0,2017072702584117,2017072703052729.0,2017072702580959,2017072703052089.0,2017072702583760,20170728013141.0,20170728013141.0,20170728011529.0,20170728011304.0,20170728011228.0,20170728011145.0,20170728004611.0,20170728004611.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072702584381.0,2017072702572100,2017072702582821.0,2017072702573862,2017072702583107.0,2017072702571678,2017072702582589.0,2017072702573506,20170728020254.0,20170728020254.0,20170728014757.0,20170728014418.0,20170728014342.0,20170728014256.0,20170728011622.0,20170728011622.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072702574132.0,2017072702552443,2017072702572567.0,2017072702560809,2017072702572856.0,2017072702552021,2017072702572342.0,2017072702560456,20170728020141.0,20170728020141.0,20170728014652.0,20170728014304.0,20170728014228.0,20170728014140.0,20170728011538.0,20170728011538.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072504344231.0,2017072504312676,2017072504342656.0,2017072504333479,2017072504342971.0,2017072504312254,2017072504342425.0,2017072504333126,20170725044956.0,20170725044956.0,20170725043516.0,20170725043131.0,20170725043054.0,20170725043009.0,20170725035955.0,20170725035955.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072506141331.0,2017072506123709,2017072506135781.0,2017072506125387,2017072506140064.0,2017072506123287,2017072506135556.0,2017072506125034,20170725063109.0,20170725063109.0,20170725061506.0,20170725061242.0,20170725061205.0,20170725061118.0,20170725054221.0,20170725054221.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072504010860.0,2017072503590345,2017072504005310.0,2017072503593856,2017072504005598.0,2017072503585923,2017072504005089.0,2017072503593503,20170725041857.0,20170725041857.0,20170725040142.0,20170725035907.0,20170725035834.0,20170725035756.0,20170725032932.0,20170725032932.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072505425351.0,2017072505405596,2017072505423812.0,2017072505412307,2017072505424098.0,2017072505405175,2017072505423589.0,2017072505411954,20170725060011.0,20170725060011.0,20170725054328.0,20170725054101.0,20170725054027.0,20170725053941.0,20170725050755.0,20170725050755.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072610293706.0,2017072610280164,2017072610292160.0,2017072610281839,2017072610292446.0,2017072610275742,2017072610291935.0,2017072610281485,20170727012241.0,20170727012241.0,20170727010644.0,20170727010419.0,20170727010343.0,20170727010255.0,20170727003234.0,20170727003234.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072716533242.0,2017072716515370,2017072716531685.0,2017072716521800,2017072716531979.0,2017072716514948,2017072716531464.0,2017072716521446,20170727115643.0,20170727115643.0,20170727114034.0,20170727113810.0,20170727113733.0,20170727113647.0,20170727110549.0,20170727110549.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072716180735.0,2017072716162007,2017072716175182.0,2017072716163757,2017072716175468.0,2017072716161587,2017072716174959.0,2017072716163403,20170727115759.0,20170727115759.0,20170727114149.0,20170727113925.0,20170727113848.0,20170727113802.0,20170727110701.0,20170727110701.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072711422993.0,2017072711405384,2017072711421451.0,2017072711411139,2017072711421742.0,2017072711404964,2017072711421228.0,2017072711410784,20170726122758.0,20170726122758.0,20170726121351.0,20170726121144.0,20170726121110.0,20170726121033.0,20170726113936.0,20170726113936.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072711411389.0,2017072711393979,2017072711405845.0,2017072711395653,2017072711410131.0,2017072711393557,2017072711405621.0,2017072711395301,20170726214520.0,20170726214520.0,20170726212909.0,20170726212635.0,20170726212602.0,20170726212523.0,20170726210238.0,20170726210238.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072711395918.0,2017072711382468,2017072711394362.0,2017072711384228,2017072711394648.0,2017072711382048,2017072711394137.0,2017072711383876,20170726221627.0,20170726221627.0,20170726220140.0,20170726215751.0,20170726215714.0,20170726215626.0,20170726212937.0,20170726212937.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017073013364381.0,2017073013345065,2017073013362835.0,2017073013352142,2017073013363120.0,2017073013344643,2017073013362610.0,2017073013351790,20170728092437.0,20170728092437.0,20170728090946.0,20170728090556.0,20170728090519.0,20170728090434.0,20170728083624.0,20170728083624.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017073013352392.0,2017073013335450,2017073013350848.0,2017073013341132,2017073013351132.0,2017073013335028,2017073013350612.0,2017073013340776,20170728091433.0,20170728091433.0,20170728085820.0,20170728085557.0,20170728085520.0,20170728085434.0,20170728082742.0,20170728082742.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017073013341384.0,2017073013294768,2017073013335835.0,2017073013300745,2017073013340121.0,2017073013294346,2017073013335610.0,2017073013300392,20170728085707.0,20170728085707.0,20170728084050.0,20170728083826.0,20170728083750.0,20170728083713.0,20170728080624.0,20170728080624.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072607174689.0,2017072607155848,2017072607173137.0,2017072607162304,2017072607173425.0,2017072607155426,2017072607172912.0,2017072607161953,20170726073304.0,20170726073304.0,20170726071825.0,20170726071607.0,20170726071533.0,20170726071448.0,20170726064512.0,20170726064512.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072510435751.0,2017072510421914,2017072510434692.0,2017072510423506,2017072510434960.0,2017072510421492,2017072510434465.0,2017072510423154,20170725110001.0,20170725110001.0,20170725104425.0,20170725104224.0,20170725104147.0,20170725104101.0,20170725101140.0,20170725101140.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072510423754.0,2017072510410457,2017072510422212.0,2017072510412225,2017072510422496.0,2017072510410037,2017072510421985.0,2017072510411871,20170725105845.0,20170725105845.0,20170725104340.0,20170725104110.0,20170725104033.0,20170725103947.0,20170725101034.0,20170725101034.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072510412475.0,2017072510394993,2017072510410929.0,2017072510400598,2017072510411217.0,2017072510394571,2017072510410704.0,2017072510400245,20170725105747.0,20170725105747.0,20170725104218.0,20170725103955.0,20170725103918.0,20170725103833.0,20170725100929.0,20170725100929.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072502500575.0,2017072502483609,2017072502495028.0,2017072502490048,2017072502495318.0,2017072502483187,2017072502494785.0,2017072502485693,20170725030420.0,20170725030420.0,20170725025039.0,20170725024840.0,20170725024806.0,20170725024729.0,20170725021302.0,20170725021302.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072508310750.0,2017072508291865,2017072508305192.0,2017072508294379,2017072508305487.0,2017072508291442,2017072508304965.0,2017072508294025,20170725084600.0,20170725084600.0,20170725083142.0,20170725082924.0,20170725082850.0,20170725082805.0,20170725075507.0,20170725075507.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072508140220.0,2017072508122646,2017072508134671.0,2017072508124628,2017072508134957.0,2017072508122225,2017072508134446.0,2017072508124276,20170725083111.0,20170725083111.0,20170725081456.0,20170725081231.0,20170725081155.0,20170725081115.0,20170725074228.0,20170725074228.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072508124882.0,2017072508111895,2017072508123328.0,2017072508114346,2017072508123623.0,2017072508111473,2017072508123103.0,2017072508113993,20170725082958.0,20170725082958.0,20170725081341.0,20170725081124.0,20170725081050.0,20170725080955.0,20170725074114.0,20170725074114.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072507592689.0,2017072507544926,2017072507591143.0,2017072507550929,2017072507591426.0,2017072507544504,2017072507590918.0,2017072507550576,20170725081458.0,20170725081458.0,20170725080002.0,20170725075454.0,20170725075417.0,20170725075329.0,20170725072631.0,20170725072631.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072801473862.0,2017072801442951,2017072801472310.0,2017072801463168,2017072801472603.0,2017072801442531,2017072801472084.0,2017072801462815,20170728013414.0,20170728013414.0,20170728011800.0,20170728011535.0,20170728011501.0,20170728011410.0,20170728004821.0,20170728004821.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072314544846.0,2017072314525943,2017072314543278.0,2017072314532400,2017072314543575.0,2017072314525521,2017072314543054.0,2017072314532048,20170723150948.0,20170723150948.0,20170723145517.0,20170723145258.0,20170723145224.0,20170723145139.0,20170723142341.0,20170723142341.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072422064784.0,2017072422051137,2017072422063234.0,2017072422052814,2017072422063521.0,2017072422050715,2017072422063009.0,2017072422052460,20170724222337.0,20170724222337.0,20170724220738.0,20170724220514.0,20170724220437.0,20170724220349.0,20170724213408.0,20170724213408.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072421361081.0,2017072421341140,2017072421355528.0,2017072421343748,2017072421355815.0,2017072421340720,2017072421355303.0,2017072421343395,20170724215237.0,20170724215237.0,20170724213643.0,20170724213414.0,20170724213340.0,20170724213123.0,20170724210254.0,20170724210254.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072510400859.0,2017072510383589,2017072510395303.0,2017072510385356,2017072510395590.0,2017072510383168,2017072510395078.0,2017072510385001,20170725105659.0,20170725105659.0,20170725104104.0,20170725103841.0,20170725103804.0,20170725103716.0,20170725100846.0,20170725100846.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072510300868.0,2017072510283431,2017072510295314.0,2017072510285295,2017072510295600.0,2017072510283010,2017072510295087.0,2017072510284942,20170725104718.0,20170725104718.0,20170725103104.0,20170725102839.0,20170725102803.0,20170725102716.0,20170725095650.0,20170725095650.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072510274521.0,2017072510261517,2017072510272978.0,2017072510263967,2017072510273267.0,2017072510261095,2017072510272751.0,2017072510263615,20170725104453.0,20170725104453.0,20170725102834.0,20170725102620.0,20170725102546.0,20170725102449.0,20170725095440.0,20170725095440.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072510142357.0,2017072510125376,2017072510140809.0,2017072510131843,2017072510141095.0,2017072510124954,2017072510140584.0,2017072510131490,20170725103219.0,20170725103219.0,20170725101726.0,20170725101258.0,20170725101225.0,20170725101122.0,20170725094014.0,20170725094014.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072510121810.0,2017072510101409,2017072510120259.0,2017072510104781,2017072510120548.0,2017072510100989,2017072510120032.0,2017072510104429,20170725102950.0,20170725102950.0,20170725101253.0,20170725101019.0,20170725100945.0,20170725100907.0,20170725093803.0,20170725093803.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017071820305056.0,2017071820221284,2017071820303487.0,2017071820293670,2017071820303778.0,2017071820220864,2017071820303260.0,2017071820293317,20170718204347.0,20170718204347.0,20170718203151.0,20170718195721.0,20170718195658.0,20170718195630.0,20170718193657.0,20170718193657.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072807290890.0,2017072807273753,2017072807285342.0,2017072807280189,2017072807285628.0,2017072807273331,2017072807285107.0,2017072807275835,20170728071937.0,20170728071937.0,20170728070414.0,20170728070213.0,20170728070139.0,20170728070101.0,20170728063640.0,20170728063640.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072807280446.0,2017072807245598,2017072807274896.0,2017072807265945,2017072807275181.0,2017072807245178,2017072807274671.0,2017072807265592,20170727160214.0,20170727160214.0,20170727154713.0,20170727154202.0,20170727154128.0,20170727154042.0,20170727150904.0,20170727150904.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072807270201.0,2017072807233981,2017072807264651.0,2017072807240071,2017072807264939.0,2017072807233556,2017072807264425.0,2017072807235720,20170727163317.0,20170727163317.0,20170727161715.0,20170727161450.0,20170727161414.0,20170727161328.0,20170727154208.0,20170727154208.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072502140614.0,2017072502121704,2017072502135054.0,2017072502124228,2017072502135353.0,2017072502121282,2017072502134831.0,2017072502123875,20170725023144.0,20170725023144.0,20170725021440.0,20170725021221.0,20170725021147.0,20170725021110.0,20170725014203.0,20170725014203.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
2017072501460906.0,2017072501410868,2017072501455359.0,2017072501415012,2017072501455645.0,2017072501410448,2017072501455125.0,2017072501414660,20170725015941.0,20170725015941.0,20170725014642.0,20170725014113.0,20170725014039.0,20170725013946.0,20170725010214.0,20170725010214.0,20170713110723.0,20170713110723.0,20170705163823.0,20170705163823.0
