311X29,311X30,311X31,311X32,311X99,311X100,311X187,311X188,261X373,261X374,261X559,261X560,261X745,261X746
20170727215946,20170727220320.0,20170727215854,20170727220228.0,20170727220033,20170727220013,20170727220038,20170727220034,20170727220052,20170727220039,20170727220058,20170727220052,20170727220112,20170727220058
20170727220512,20170727221017.0,20170727220421,20170727220926.0,20170727220601,20170727220541,20170727220605,20170727220601,20170727220619,20170727220606,20170727220626,20170727220619,20170727220639,20170727220626
20170726093505,20170726094012.0,20170726093413,20170726093923.0,20170726093556,20170726093536,20170726093600,20170726093556,20170726093614,20170726093601,20170726093621,20170726093614,20170726093634,20170726093621
20170726230155,20170726230703.0,20170726230057,20170726230613.0,20170726230206,20170726230146,20170726230210,20170726230206,20170726230224,20170726230211,20170726230231,20170726230224,20170726230244,20170726230231
20170726101737,20170726102131.0,20170726101644,20170726102038.0,20170726101849,20170726101829,20170726101853,20170726101849,20170726101907,20170726101854,20170726101914,20170726101907,20170726101927,20170726101914
20170726234721,20170726235042.0,20170726234628,20170726234946.0,20170726234801,20170726234741,20170726234805,20170726234801,20170726234819,20170726234806,20170726234826,20170726234819,20170726234839,20170726234826
20170727125326,20170727125650.0,20170727125229,20170727125558.0,20170727125418,20170727125358,20170727125422,20170727125418,20170727125437,20170727125423,20170727125443,20170727125437,20170727125456,20170727125443
20170729004748,20170729005117.0,20170729004651,20170729005019.0,20170729004849,20170729004829,20170729004853,20170729004849,20170729004907,20170729004854,20170729004914,20170729004907,20170729004927,20170729004914
20170729013339,20170729013713.0,20170729013248,20170729013621.0,20170729013428,20170729013408,20170729013432,20170729013428,20170729013446,20170729013433,20170729013453,20170729013446,20170729013506,20170729013453
20170729013905,20170729014413.0,20170729013813,20170729014325.0,20170729013956,20170729013936,20170729014000,20170729013956,20170729014014,20170729014001,20170729014021,20170729014014,20170729014034,20170729014021
20170729013815,20170729014131.0,20170729013718,20170729014032.0,20170729013907,20170729013847,20170729013911,20170729013907,20170729013925,20170729013912,20170729013932,20170729013925,20170729013945,20170729013932
20170729014228,20170729014556.0,20170729014136,20170729014455.0,20170729014331,20170729014311,20170729014335,20170729014331,20170729014349,20170729014336,20170729014356,20170729014349,20170729014409,20170729014356
20170801201338,20170801201733.0,20170801201220,20170801201643.0,20170801201456,20170801201436,20170801201500,20170801201456,20170801201514,20170801201501,20170801201521,20170801201514,20170801201534,20170801201521
20170801201220,20170801201544.0,20170801201128,20170801201453.0,20170801201316,20170801201256,20170801201320,20170801201316,20170801201334,20170801201321,20170801201341,20170801201334,20170801201354,20170801201341
20170801201709,20170801202130.0,20170801201549,20170801202042.0,20170801201828,20170801201808,20170801201832,20170801201828,20170801201846,20170801201833,20170801201853,20170801201846,20170801201906,20170801201853
20170727001204,20170727001716.0,20170727001111,20170727001625.0,20170727001250,20170727001230,20170727001254,20170727001250,20170727001308,20170727001255,20170727001315,20170727001308,20170727001328,20170727001315
20170731175722,20170731180113.0,20170731175602,20170731180023.0,20170731175843,20170731175823,20170731175847,20170731175843,20170731175901,20170731175848,20170731175908,20170731175901,20170731175921,20170731175908
20170731175606,20170731175927.0,20170731175511,20170731175838.0,20170731175702,20170731175642,20170731175706,20170731175702,20170731175720,20170731175707,20170731175727,20170731175720,20170731175740,20170731175727
20170731180046,20170731180448.0,20170731175933,20170731180400.0,20170731180206,20170731180145,20170731180210,20170731180206,20170731180224,20170731180211,20170731180230,20170731180224,20170731180244,20170731180230
20170726024938,20170726025320.0,20170726024847,20170726025204.0,20170726025036,20170726025016,20170726025040,20170726025036,20170726025054,20170726025041,20170726025101,20170726025054,20170726025114,20170726025101
20170726061253,20170726061800.0,20170726061200,20170726061711.0,20170726061344,20170726061324,20170726061348,20170726061344,20170726061402,20170726061349,20170726061409,20170726061402,20170726061422,20170726061409
20170726063612,20170726064114.0,20170726063515,20170726064025.0,20170726063700,20170726063640,20170726063705,20170726063701,20170726063718,20170726063705,20170726063725,20170726063718,20170726063738,20170726063725
20170726063513,20170726063826.0,20170726063420,20170726063736.0,20170726063603,20170726063543,20170726063607,20170726063603,20170726063621,20170726063608,20170726063628,20170726063621,20170726063641,20170726063628
20170726065838,20170726070151.0,20170726065740,20170726070100.0,20170726065930,20170726065910,20170726065934,20170726065930,20170726065948,20170726065935,20170726065955,20170726065948,20170726070007,20170726065955
20170729082358,20170729082910.0,20170729082306,20170729082817.0,20170729082450,20170729082430,20170729082454,20170729082450,20170729082508,20170729082455,20170729082515,20170729082508,20170729082528,20170729082515
20170724232912,20170724233338.0,20170724232627,20170724233305.0,20170724233103,20170724233043,20170724233107,20170724233103,20170724233122,20170724233108,20170724233128,20170724233122,20170724233142,20170724233128
20170725201630,20170725202135.0,20170725201534,20170725202046.0,20170725201719,20170725201659,20170725201723,20170725201719,20170725201737,20170725201724,20170725201743,20170725201737,20170725201756,20170725201743
20170725210206,20170725210526.0,20170725210114,20170725210427.0,20170725210255,20170725210235,20170725210259,20170725210255,20170725210313,20170725210300,20170725210320,20170725210313,20170725210333,20170725210320
20170731175923,20170731180303.0,20170731175826,20170731180203.0,20170731180025,20170731180005,20170731180029,20170731180025,20170731180044,20170731180030,20170731180050,20170731180044,20170731180103,20170731180050
20170731181426,20170731181804.0,20170731181328,20170731181707.0,20170731181528,20170731181508,20170731181532,20170731181528,20170731181546,20170731181533,20170731181553,20170731181546,20170731181606,20170731181553
20170731181808,20170731182149.0,20170731181715,20170731182045.0,20170731181909,20170731181849,20170731181913,20170731181909,20170731181927,20170731181914,20170731181934,20170731181927,20170731181947,20170731181934
20170731183627,20170731184042.0,20170731183531,20170731183952.0,20170731183731,20170731183711,20170731183736,20170731183731,20170731183750,20170731183736,20170731183756,20170731183750,20170731183809,20170731183756
20170731183938,20170731184320.0,20170731183739,20170731184232.0,20170731184053,20170731184032,20170731184057,20170731184053,20170731184111,20170731184058,20170731184117,20170731184111,20170731184131,20170731184118
20170725013728,20170725014154.0,20170725013446,20170725014119.0,20170725013916,20170725013855,20170725013920,20170725013916,20170725013934,20170725013921,20170725013941,20170725013934,20170725013954,20170725013941
20170802202612,20170802202904.0,20170802202450,20170802202916.0,20170802202727,20170802202707,20170802202731,20170802202727,20170802202745,20170802202732,20170802202752,20170802202745,20170802202805,20170802202752
20170802202455,20170802202819.0,20170802202358,20170802202727.0,20170802202547,20170802202527,20170802202551,20170802202547,20170802202605,20170802202552,20170802202611,20170802202605,20170802202625,20170802202612
20170802202838,20170802203245.0,20170802202825,20170802203154.0,20170802203050,20170802203030,20170802203055,20170802203050,20170802203109,20170802203055,20170802203115,20170802203109,20170802203128,20170802203115
20170726141129,20170726141459.0,20170726141033,20170726141402.0,20170726141231,20170726141210,20170726141235,20170726141231,20170726141249,20170726141236,20170726141255,20170726141249,20170726141308,20170726141255
20170726145432,20170726145826.0,20170726145335,20170726145729.0,20170726145547,20170726145527,20170726145551,20170726145547,20170726145605,20170726145552,20170726145612,20170726145605,20170726145625,20170726145612
20170726062734,20170726063046.0,20170726062638,20170726062957.0,20170726062827,20170726062807,20170726062831,20170726062827,20170726062846,20170726062832,20170726062852,20170726062846,20170726062905,20170726062852
20170724210421,20170724210757.0,20170724210330,20170724210722.0,20170724210521,20170724210500,20170724210525,20170724210521,20170724210539,20170724210526,20170724210546,20170724210539,20170724210559,20170724210546
20170726063050,20170726063414.0,20170726062953,20170726063324.0,20170726063143,20170726063123,20170726063147,20170726063143,20170726063202,20170726063148,20170726063208,20170726063202,20170726063221,20170726063208
20170726064300,20170726064613.0,20170726064204,20170726064524.0,20170726064354,20170726064334,20170726064358,20170726064354,20170726064412,20170726064359,20170726064419,20170726064413,20170726064432,20170726064419
20170724214503,20170724214932.0,20170724214222,20170724214856.0,20170724214653,20170724214633,20170724214658,20170724214653,20170724214712,20170724214658,20170724214719,20170724214712,20170724214732,20170724214719
20170726065402,20170726065736.0,20170726065310,20170726065644.0,20170726065453,20170726065433,20170726065457,20170726065453,20170726065511,20170726065458,20170726065518,20170726065511,20170726065531,20170726065518
20170726065928,20170726070436.0,20170726065836,20170726070347.0,20170726070017,20170726065958,20170726070021,20170726070017,20170726070035,20170726070022,20170726070042,20170726070035,20170726070055,20170726070042
20170726075403,20170726075911.0,20170726075306,20170726075823.0,20170726075452,20170726075432,20170726075456,20170726075452,20170726075510,20170726075457,20170726075517,20170726075510,20170726075530,20170726075517
20170726083949,20170726084309.0,20170726083858,20170726084212.0,20170726084038,20170726084018,20170726084042,20170726084038,20170726084056,20170726084043,20170726084103,20170726084056,20170726084116,20170726084103
20170727140436,20170727140806.0,20170727140339,20170727140707.0,20170727150536,20170727150516,20170727150540,20170727150536,20170727150554,20170727150541,20170727150600,20170727150554,20170727150613,20170727150601
20170727145009,20170727145341.0,20170727144917,20170727145249.0,20170727145058,20170727145038,20170727145102,20170727145058,20170727145116,20170727145103,20170727145123,20170727145116,20170727145136,20170727145123
20170725192525,20170725192853.0,20170725192434,20170725192754.0,20170725192629,20170725192609,20170725192633,20170725192629,20170725192647,20170725192634,20170725192654,20170725192647,20170725192707,20170725192654
20170726125313,20170726125646.0,20170726125205,20170726125558.0,20170726125426,20170726125406,20170726125430,20170726125426,20170726125444,20170726125431,20170726125451,20170726125444,20170726125504,20170726125451
20170802005648,20170802010032.0,20170802005530,20170802005943.0,20170802005807,20170802005747,20170802005811,20170802005807,20170802005825,20170802005812,20170802005832,20170802005825,20170802005845,20170802005832
20170802005530,20170802005852.0,20170802005438,20170802005804.0,20170802005627,20170802005607,20170802005631,20170802005627,20170802005645,20170802005632,20170802005652,20170802005645,20170802005705,20170802005652
20170802010008,20170802010423.0,20170802005859,20170802010334.0,20170802010128,20170802010108,20170802010132,20170802010128,20170802010146,20170802010133,20170802010153,20170802010146,20170802010206,20170802010153
20170802101344,20170802101734.0,20170802101148,20170802101643.0,20170802101502,20170802101442,20170802101506,20170802101502,20170802101520,20170802101507,20170802101527,20170802101520,20170802101540,20170802101527
20170802205727,NA,20170802205633,NA,20170802205832,20170802205812,20170802205836,20170802205832,20170802205850,20170802205837,20170802205857,20170802205850,20170802205910,20170802205857
20170802210237,20170802210658.0,20170802210119,20170802210610.0,20170802210346,20170802210326,20170802210350,20170802210346,20170802210404,20170802210351,20170802210411,20170802210404,20170802210424,20170802210411
20170802030916,20170802031310.0,20170802030801,20170802031220.0,20170802031036,20170802031016,20170802031040,20170802031036,20170802031054,20170802031041,20170802031101,20170802031054,20170802031114,20170802031101
20170802210633,20170802211038.0,20170802210507,20170802210947.0,20170802210752,20170802210732,20170802210756,20170802210752,20170802210810,20170802210757,20170802210817,20170802210810,20170802210830,20170802210817
20170802210507,20170802210849.0,20170802210410,20170802210750.0,20170802210611,20170802210551,20170802210615,20170802210611,20170802210630,20170802210616,20170802210636,20170802210630,20170802210649,20170802210636
20170802030801,20170802031123.0,20170802030708,20170802031033.0,20170802030856,20170802030836,20170802030900,20170802030856,20170802030914,20170802030901,20170802030921,20170802030914,20170802030934,20170802030921
20170802031247,20170802031707.0,20170802031128,20170802031617.0,20170802031406,20170802031346,20170802031410,20170802031406,20170802031424,20170802031411,20170802031430,20170802031424,20170802031444,20170802031431
20170726132111,20170726132631.0,20170726132016,20170726132541.0,20170726132208,20170726132148,20170726132212,20170726132208,20170726132226,20170726132213,20170726132232,20170726132226,20170726132245,20170726132232
20170726140714,20170726141028.0,20170726140622,20170726140936.0,20170726140805,20170726140744,20170726140809,20170726140805,20170726140823,20170726140810,20170726140829,20170726140823,20170726140843,20170726140829
20170729032012,20170729032517.0,20170729031915,20170729032428.0,20170729032101,20170729032041,20170729032105,20170729032101,20170729032119,20170729032106,20170729032126,20170729032119,20170729032139,20170729032126
20170729040600,20170729040916.0,20170729040510,20170729040818.0,20170729040650,20170729040630,20170729040654,20170729040650,20170729040708,20170729040655,20170729040715,20170729040708,20170729040728,20170729040715
20170726084409,20170726084739.0,20170726084313,20170726084638.0,20170726084510,20170726084450,20170726084514,20170726084510,20170726084528,20170726084515,20170726084535,20170726084528,20170726084548,20170726084535
20170726092939,20170726093313.0,20170726092847,20170726093220.0,20170726093028,20170726093008,20170726093032,20170726093028,20170726093046,20170726093033,20170726093053,20170726093046,20170726093106,20170726093053
20170727013325,20170727013700.0,20170727013232,20170727013558.0,20170727013417,20170727013357,20170727013421,20170727013417,20170727013435,20170727013422,20170727013442,20170727013435,20170727013455,20170727013442
20170727021650,20170727022033.0,20170727021555,20170727021942.0,20170727021801,20170727021741,20170727021805,20170727021801,20170727021819,20170727021806,20170727021826,20170727021819,20170727021839,20170727021826
20170730174335,20170730174654.0,20170730174239,20170730174552.0,20170730174426,20170730174406,20170730174430,20170730174426,20170730174444,20170730174431,20170730174451,20170730174444,20170730174504,20170730174451
20170727163054,20170727163359.0,20170727163004,20170727163311.0,20170727163143,20170727163123,20170727163147,20170727163143,20170727163202,20170727163148,20170727163208,20170727163202,20170727163221,20170727163208
20170726064711,20170726065041.0,20170726064619,20170726064941.0,20170726064814,20170726064754,20170726064818,20170726064814,20170726064832,20170726064819,20170726064839,20170726064832,20170726064852,20170726064839
20170726065043,20170726065400.0,20170726064951,20170726065306.0,20170726065133,20170726065113,20170726065137,20170726065133,20170726065151,20170726065138,20170726065158,20170726065151,20170726065211,20170726065158
20170727065930,20170727070259.0,20170727065836,20170727070200.0,20170727070013,20170727070004,20170727070017,20170727070013,20170727070031,20170727070018,20170727070038,20170727070031,20170727070051,20170727070038
20170727074336,20170727074720.0,20170727074240,20170727074626.0,20170727074441,20170727074449,20170727074445,20170727074441,20170727074459,20170727074446,20170727074506,20170727074459,20170727074519,20170727074506
20170730135317,20170730135641.0,20170730135222,20170730135547.0,20170730135409,20170730135349,20170730135413,20170730135409,20170730135427,20170730135414,20170730135434,20170730135427,20170730135447,20170730135434
20170730144505,NA,20170730144409,NA,20170730144553,20170730144533,20170730144558,20170730144554,20170730144611,20170730144558,20170730144618,20170730144611,20170730144631,20170730144618
20170724215027,20170724215453.0,20170724214744,20170724215420.0,20170724215218,20170724215158,20170724215223,20170724215218,20170724215237,20170724215224,20170724215244,20170724215237,20170724215257,20170724215244
20170727012913,20170727013228.0,20170727012816,20170727013137.0,20170727012957,20170727012937,20170727013001,20170727012957,20170727013015,20170727013002,20170727013022,20170727013015,20170727013035,20170727013022
20170724223100,20170724223530.0,20170724222817,20170724223454.0,20170724223251,20170724223231,20170724223255,20170724223251,20170724223309,20170724223256,20170724223316,20170724223309,20170724223329,20170724223316
20170728225855,20170728230226.0,20170728225757,20170728230126.0,20170728225955,20170728225935,20170728230000,20170728225955,20170728230012,20170728230000,20170728230019,20170728230012,20170728230031,20170728230019
20170728234435,NA,20170728234343,NA,20170728234524,20170728234504,20170728234528,20170728234524,20170728234542,20170728234529,20170728234549,20170728234542,20170728234602,20170728234549
20170802120239,20170802120700.0,20170802120120,20170802120611.0,20170802120358,20170802120338,20170802120402,20170802120358,20170802120417,20170802120403,20170802120423,20170802120417,20170802120436,20170802120423
20170802120116,20170802120502.0,20170802120025,20170802120355.0,20170802120218,20170802120157,20170802120222,20170802120218,20170802120236,20170802120222,20170802120242,20170802120236,20170802120256,20170802120242
20170729055123,20170729055453.0,20170729055032,20170729055352.0,20170729055227,20170729055206,20170729055231,20170729055227,20170729055244,20170729055232,20170729055251,20170729055245,20170729055304,20170729055251
20170802120634,20170802121035.0,20170802120506,20170802120946.0,20170802120753,20170802120733,20170802120757,20170802120753,20170802120811,20170802120758,20170802120818,20170802120811,20170802120831,20170802120818
20170729063723,20170729064048.0,20170729063627,20170729063953.0,20170729063813,20170729063753,20170729063817,20170729063813,20170729063831,20170729063818,20170729063838,20170729063831,20170729063851,20170729063838
20170729022906,20170729023236.0,20170729022814,20170729023136.0,20170729023009,20170729022949,20170729023013,20170729023009,20170729023027,20170729023014,20170729023034,20170729023027,20170729023047,20170729023034
20170729031452,20170729031816.0,20170729031356,20170729031722.0,20170729031543,20170729031523,20170729031547,20170729031543,20170729031601,20170729031548,20170729031608,20170729031601,20170729031621,20170729031608
20170727113248,20170727113803.0,20170727113156,20170727113714.0,20170727113344,20170727113324,20170727113348,20170727113344,20170727113402,20170727113349,20170727113408,20170727113402,20170727113421,20170727113408
20170727210529,20170727210855.0,20170727210434,20170727210800.0,20170727210619,20170727210559,20170727210623,20170727210619,20170727210637,20170727210624,20170727210644,20170727210638,20170727210657,20170727210644
20170727121848,20170727122205.0,20170727121753,20170727122111.0,20170727121942,20170727121922,20170727121946,20170727121942,20170727122000,20170727121947,20170727122007,20170727122000,20170727122020,20170727122007
20170726052141,20170726052512.0,20170726052044,20170726052413.0,20170726052242,20170726052222,20170726052246,20170726052242,20170726052300,20170726052247,20170726052307,20170726052300,20170726052320,20170726052307
20170726060725,NA,20170726060634,NA,20170726060816,20170726060756,20170726060820,20170726060816,20170726060834,20170726060821,20170726060841,20170726060834,20170726060854,20170726060841
20170726132342,20170726132717.0,20170726132252,20170726132623.0,20170726132433,20170726132413,20170726132438,20170726132433,20170726132452,20170726132438,20170726132458,20170726132452,20170726132511,20170726132458
20170730222051,20170730222500.0,20170730221934,20170730222413.0,20170730222208,20170730222148,20170730222212,20170730222208,20170730222226,20170730222213,20170730222233,20170730222226,20170730222246,20170730222233
20170727143123,20170727143437.0,20170727143030,20170727143344.0,20170727143213,20170727143153,20170727143217,20170727143213,20170727143231,20170727143218,20170727143238,20170727143231,20170727143251,20170727143238
20170730230435,NA,20170730230344,NA,20170730230539,20170730230519,20170730230543,20170730230539,20170730230557,20170730230544,20170730230604,20170730230557,20170730230617,20170730230604
20170727143539,20170727143906.0,20170727143441,20170727143808.0,20170727143640,20170727143619,20170727143644,20170727143640,20170727143657,20170727143645,20170727143704,20170727143657,20170727143717,20170727143704
20170803000409,20170803000830.0,20170803000247,20170803000741.0,20170803000528,20170803000508,20170803000532,20170803000528,20170803000546,20170803000533,20170803000553,20170803000546,20170803000606,20170803000553
20170727131425,20170727131931.0,20170727131328,20170727131842.0,20170727131513,20170727131453,20170727131517,20170727131513,20170727131531,20170727131518,20170727131538,20170727131531,20170727131551,20170727131538
20170727140016,20170727140335.0,20170727135925,20170727140239.0,20170727150105,20170727150045,20170727150109,20170727150105,20170727150123,20170727150110,20170727150130,20170727150123,20170727150143,20170727150130
20170729050122,20170729050635.0,20170729050031,20170729050545.0,20170729050213,20170729050153,20170729050217,20170729050213,20170729050231,20170729050218,20170729050238,20170729050231,20170729050251,20170729050238
20170729050031,20170729050348.0,20170729045935,20170729050248.0,20170729050121,20170729050101,20170729050125,20170729050121,20170729050139,20170729050126,20170729050146,20170729050140,20170729050159,20170729050146
20170729050445,20170729050816.0,20170729050355,20170729050715.0,20170729050548,20170729050528,20170729050552,20170729050548,20170729050606,20170729050553,20170729050614,20170729050606,20170729050627,20170729050614
20170728220331,20170728220654.0,20170728220234,20170728220600.0,20170728220420,20170728220400,20170728220424,20170728220420,20170728220438,20170728220425,20170728220445,20170728220438,20170728220458,20170728220445
20170727224626,20170727225000.0,20170727224536,20170727224911.0,20170727224717,20170727224657,20170727224721,20170727224717,20170727224735,20170727224722,20170727224741,20170727224735,20170727224755,20170727224741
20170804172342,20170804172900.0,20170804172249,20170804172810.0,20170804172437,20170804172417,20170804172441,20170804172437,20170804172455,20170804172442,20170804172502,20170804172455,20170804172515,20170804172502
20170804172253,20170804172614.0,20170804172158,20170804172516.0,20170804172349,20170804172329,20170804172353,20170804172349,20170804172407,20170804172354,20170804172414,20170804172407,20170804172427,20170804172414
